TU_ID	Gene_name	Start	End	Strand	Expression_E	Description
1800	udp	3620611	3621411	-	118,07824	udp
1232	rpoS	2866337	2867895	-	116,0164741	rpoS
1898	malK-lamB-malM	4251448	4255185	+	105,8756367	malK-lamB-malM
2000	ppa	4454924	4455487	-	105,2392982	ppa
1958	groSL	4376418	4378472	+	103,8275344	groSL
1689	yicR-rpmBG	3828960	3830327	+	102,4740594	yicR-rpmBG
1159	grcA	2715844	2716283	-	102,4487472	grcA
998	mepS	2274376	2275000	+	101,9561966	mepS
2073	arcA	4645341	4646313	-	101,2736626	arcA
1491	accBC	3406149	3408278	+	99,24268044	accBC
1774	trxA	3671713	3672115	-	96,89303483	trxA
72	lpd	127717	129393	+	96,89134419	lpd
63	lpxC	106508	107543	+	96,70853462	lpxC
1442	rlmE-ftsH	3325919	3328736	-	96,3506094	rlmE-ftsH
1384	rpsU	3210424	3210849	+	92,48850612	rpsU
527	acpP-fabF	1154274	1155878	+	89,12658804	acpP-fabF
299	fur	711706	712259	-	86,75647981	fur
1724	rpmH-rnpA	3756685	3757299	-	86,04560261	rpmH-rnpA
1686	rpmBG-mutM	3829542	3831193	+	85,5832475	rpmBG-mutM
1237	nlpD-rpoS	2866337	2868559	-	84,78277828	nlpD-rpoS
2005	treBC	4468856	4472011	-	84,1338279	treBC
1523	fkpA	4164039	4164930	+	83,99289188	fkpA
775	pykF	1758499	1759945	+	83,64868603	pykF
797	thrS-infC	1802932	1805568	-	83,19299594	thrS-infC
798	thrS-infC-rpmI-rplT-pheMST-ihfA	1798089	1805568	-	81,30285641	thrS-infC-rpmI-rplT-pheMST-ihfA
1745	atpIBEFHAGDC	3715278	3722294	+	81,05969707	atpIBEFHAGDC
626	fabI	1353087	1353953	-	79,24249423	fabI
1440	secG-leuU	3323012	3323563	-	77,20387175	secG-leuU
1818	csrC	3586523	3586766	-	77,13493459	csrC
2017	rraB	4484247	4484690	+	76,90142965	rraB
1897	malEFG	4247251	4251175	-	74,14304069	malEFG
529	ptsG	1160465	1162000	+	73,34527687	ptsG
303	uof-fur	711706	712372	-	72,78378378	uof-fur
1300	ssrS	3055537	3056060	+	71,63479924	ssrS
1428	rpsO-pnp	3309976	3312762	-	70,14288711	rpsO-pnp
220	htpG	494308	496252	+	69,25257202	htpG
1565	malPQ	4089028	4093551	+	68,37552778	malPQ
161	phoA-psiF	400931	402824	+	67,00108805	phoA-psiF
2062	deoCABD	4623080	4627460	+	66,756621	deoCABD
2	talB	8191	9225	+	66,5513903	talB
1448	rplU-rpmA-yhbE-obgE	3331559	3334492	-	66,27977641	rplU-rpmA-yhbE-obgE
672	aldA	1491026	1492506	+	66,0274635	aldA
1981	hfq-hflXKC	4405603	4410105	+	65,89086332	hfq-hflXKC
1837	tpiA	3526279	3527062	+	65,24861643	tpiA
1872	rpoBC	3448190	3456739	-	65,03242917	rpoBC
73	acnB	131564	134211	+	64,30764387	acnB
1688	yicR-rpmBG-mutM	3828960	3831193	+	63,4303548	yicR-rpmBG-mutM
524	rpmF-plsX-fabHDG	1150037	1154102	+	62,56419593	rpmF-plsX-fabHDG
1564	malQ	4091139	4093551	+	62,04358388	malQ
139	pepD	254259	255736	-	60,93048973	pepD
1979	miaA-hfq-hflXKC	4404854	4410105	+	60,49292198	miaA-hfq-hflXKC
1740	pstSCA	3726235	3729307	+	59,66382775	pstSCA
1383	rpsU-dnaG-rpoD	3210490	3214739	+	59,60123951	rpsU-dnaG-rpoD
185	cyoABCDE	446039	450876	-	59,32087888	cyoABCDE
1090	ucpA	2550400	2551231	-	58,3726434	ucpA
1734	phoU	3730138	3730949	+	57,8689802	phoU
638	tpx	1391141	1391679	-	57,21311581	tpx
92	dksA-gluQ	159186	160656	-	56,59183673	dksA-gluQ
1168	bamD	2735784	2736660	+	55,78576865	bamD
1413	garPLRK-rnpB	3270936	3275910	-	55,65734118	garPLRK-rnpB
1738	pstSCAB-phoU	3726235	3730949	+	55,18750714	pstSCAB-phoU
244	nmpC	574981	576092	-	53,95976985	nmpC
601	topA	1333719	1336480	+	53,76494024	topA
956	gnd	2103121	2104582	-	53,50162838	gnd
584	adhE	1298145	1301007	-	52,73713021	adhE
1029	nuoABCEFGHIJKLMN	2395797	2411126	-	52,38856633	nuoABCEFGHIJKLMN
1776	rhoL-rho	3670127	3671640	-	52,34903395	rhoL-rho
70	pdhR-aceEF-lpd	122034	129393	+	52,30377612	pdhR-aceEF-lpd
1913	ssb	4278804	4279372	+	52,2306338	ssb
866	pykA	1940380	1941926	+	51,38637344	pykA
1559	nfuA	4095339	4096079	-	51,23018018	nfuA
1124	yfgM	2638441	2639179	-	50,73893406	yfgM
526	fabHDG	1151215	1154102	+	50,66365058	fabHDG
1319	epd-pgk-fbaA	3069943	3073600	-	50,60790886	epd-pgk-fbaA
1367	tolC-ygiABC	3177790	3181358	+	50,53353886	tolC-ygiABC
305	fldA-uof-fur	711706	713064	-	50,10186549	fldA-uof-fur
1018	rcsB	2320151	2321282	+	49,90480401	rcsB
1427	pnp	3309976	3312302	-	47,98097064	pnp
192	clpPX	455829	457978	+	47,60912052	clpPX
1785	glmZ	3651200	3651370	-	47,14918881	glmZ
1320	tktA	3079422	3081484	-	46,91466735	tktA
849	manXYZ	1904769	1907581	+	46,6688004	manXYZ
71	aceEF	122969	127618	+	46,48990595	aceEF
1387	rpoD	3212251	3214739	+	46,37111468	rpoD
1977	mutL-miaA-hfq-hflXKC	4402902	4410105	+	45,4537924	mutL-miaA-hfq-hflXKC
1430	rimP-nusA-infB	3314319	3319151	-	45,15981047	rimP-nusA-infB
1741	glmUS	3722580	3725992	+	45,01426338	glmUS
1561	gntT	4093663	4095088	-	44,81614035	gntT
525	plsX-fabHDG	1150276	1154102	+	44,71314943	plsX-fabHDG
1176	grpE	2749893	2750524	-	44,56887961	grpE
1822	glnA	3579696	3581812	+	44,42989918	glnA
271	ahpF	638225	640540	+	44,41076545	ahpF
1590	rpoH	4040667	4041649	+	44,28275628	rpoH
1432	metY-rimP-nusA-infB	3314319	3319273	-	44,20258787	metY-rimP-nusA-infB
1439	leuU	3323049	3323254	-	44,04428907	leuU
789	ihfA	1798052	1798556	-	43,79134534	ihfA
449	fabA	1017496	1018041	-	43,61778996	fabA
1003	rplY	2286896	2287291	+	42,58490733	rplY
1000	yejG	2282349	2282852	-	42,33134526	yejG
1469	nanA	3373660	3374596	-	42,21152516	nanA
1035	ackA	2420027	2421239	+	41,75416682	ackA
1834	pfkA	3529289	3530328	-	41,57715752	pfkA
1152	rpoE-rseABC	2707100	2709864	-	41,55849011	rpoE-rseABC
1841	glpFKX	3519642	3523275	+	41,48981191	glpFKX
2046	btsT	4594931	4597168	-	41,210033	btsT
1956	aspA	4372646	4374233	-	40,98532499	aspA
324	cydAB	772828	775724	+	40,87580571	cydAB
1071	valUXY-lysV	2527492	2527895	+	40,65176143	valUXY-lysV
1154	rseD-rpoE-rseABC	2707100	2709963	-	40,1655606	rseD-rpoE-rseABC
401	clpA	924624	927083	+	40,08377389	clpA
119	accA	208326	209579	+	39,90822027	accA
1299	ssrS-fau	3055537	3056566	+	39,87172012	ssrS-fau
768	sodB	1738159	1738949	+	39,86337473	sodB
1068	gltX	2525776	2527297	-	39,14661407	gltX
1425	yrbN-deaD	3306948	3309062	-	38,0279364	yrbN-deaD
29	lptD	54755	57155	-	38,01986111	lptD
2012	ridA	4476329	4476747	-	37,95208605	ridA
205	ppiD	461043	463009	+	37,82163445	ppiD
1963	efp	4381369	4382066	+	37,24434241	efp
1318	epd-pgk	3071209	3073600	-	36,91715208	epd-pgk
1203	luxS	2813996	2814842	-	36,80181245	luxS
1737	pstCAB-phoU	3727261	3730949	+	36,48910853	pstCAB-phoU
